"id","code","libelle","definition"
"1","CEA","CONNECTEUR E2000-APC","Connecteur a Verrouillage de type push/pull avec protection poussiere. Polissage permettant d avoir une reflectance meilleure que -60dB."
"2","CEU","CONNECTEUR E2000-UPC","Connecteur a Verrouillage de type push/pull avec protection poussiere. Polissage permettant d avoir une reflectance meilleure que -50dB."
"3","CEP","CONNECTEUR E2000-PC","Connecteur a Verrouillage de type push/pull avec protection poussiere. Polissage permettant d avoir une reflectance meilleure que -30dB."
"4","CFA","CONNECTEUR FC-APC","Connecteur a Verrouillage a Vis. Polissage permettant d avoir une reflectance meilleure que -60dB."
"5","CFU","CONNECTEUR FC-UPC","Connecteur a Verrouillage a Vis. Polissage permettant d avoir une reflectance meilleure que -50dB."
"6","CFP","CONNECTEUR FC-PC","Connecteur a Verrouillage a Vis. Polissage permettant d avoir une reflectance meilleure que -30dB."
"7","CLA","CONNECTEUR LC-APC","Connecteur a Verrouillage de type push/pull et par languette. Polissage permettant d avoir une reflectance meilleure que -60dB."
"8","CLU","CONNECTEUR LC-UPC","Connecteur a Verrouillage de type push/pull et par languette. Polissage permettant d avoir une reflectance meilleure que -50dB."
"9","CLP","CONNECTEUR LC-PC","Connecteur a Verrouillage de type push/pull et par languette. Polissage permettant d avoir une reflectance meilleure que -30dB."
"10","CMA","CONNECTEUR MU-APC","Connecteur a Verrouillage de type push/pull diametre 1.25mm. Polissage permettant d avoir une reflectance meilleure que -60dB."
"11","CMU","CONNECTEUR MU-UPC","Connecteur a Verrouillage de type push/pull diametre 1.25mm. Polissage permettant d avoir une reflectance meilleure que -50dB."
"12","CMP","CONNECTEUR MU-PC","Connecteur a Verrouillage de type push/pull diametre 1.25mm. Polissage permettant d avoir une reflectance meilleure que -30dB."
"13","CSA","CONNECTEUR SC-APC","Connecteur a Verrouillage de type push/pull diametre 2.5mm. Polissage permettant d avoir une reflectance meilleure que -60dB."
"14","CSU","CONNECTEUR SC-UPC","Connecteur a Verrouillage de type push/pull diametre 2.5mm. Polissage permettant d avoir une reflectance meilleure que -50dB."
"15","CSP","CONNECTEUR SC-PC","Connecteur a Verrouillage de type push/pull diametre 2.5mm. Polissage permettant d avoir une reflectance meilleure que -30dB."
"16","CTU","CONNECTEUR ST-UPC","Connecteur a Verrouillage de type baionnette. Polissage permettant d avoir une reflectance meilleure que -50dB."
"17","CTP","CONNECTEUR ST-PC","Connecteur a Verrouillage de type baionette. Polissage permettant d avoir une reflectance meilleure que -30dB."
"18","CPO","CONNECTEUR MT MPO","Fiche polymère intégrant plusieurs fibres SM ou MM. MTRJ pour la Version 2 fibres."
"19","SFU","SOUDURE FUSION","Raccordement sous l effet d une chaleur intense avec une soudeuse."
"20","SME","SOUDURE MECANIQUE","Raccordement mecanique, generalement par sertissage."
"21","LC","LOVE CASSETTE","Position de la cassette physique destinée à contenir les fibres optiques non soudées"
"22","LB","LOVE EN FOND DE BOITE","Micro modules laisées en attente dans un fond de boite"
"23","TS","TIROIR DE STOCKAGE","Micro modules laissés en attente dans un tiroir de stockage en baie"
